Name = "inst_P10_T4_M2_K4_C75_S1_V0";
N = 10;
T = 4;
M = 2;
K = 4;

h = [[3 3 3 3],[1 1 1 1],[3 3 3 3],[3 3 3 3],[3 3 3 3],[3 3 3 3],[3 3 3 3],[1 1 1 1],[2 2 2 2],[3 3 3 3]];

b = [[30 30 30 30],[10 10 10 10],[30 30 30 30],[30 30 30 30],[30 30 30 30],[30 30 30 30],[30 30 30 30],[10 10 10 10],[20 20 20 20],[30 30 30 30]];

sigma = [[[100000.0 59.0 71.0 57.0],[55.0 100000.0 63.0 62.0],[88.0 68.0 100000.0 66.0],[58.0 56.0 59.0 100000.0]]
[[100000.0 67.0 71.0 99.0],[63.0 100000.0 66.0 96.0],[71.0 63.0 100000.0 53.0],[86.0 79.0 81.0 100000.0]]];

d = [[8.00 13.00 11.00 7.00],[8.00 15.00 8.00 7.00],[11.00 9.00 11.00 13.00],[15.00 20.00 32.00 26.00],[8.00 9.00 7.00 15.00],[23.00 28.00 17.00 26.00],[8.00 8.00 18.00 15.00],[10.00 15.00 7.00 16.00],[13.00 24.00 34.00 19.00],[19.00 21.00 21.00 26.00]];

I0 = [0 0 0 0 0 0 0 0 0 0];

c = [[[0.011700 0.008070 0.010590 0.008050],[0.010910 0.011590 0.010780 0.008540]]
[[0.010320 0.010650 0.010120 0.011890],[0.011350 0.008850 0.008180 0.010330]]
[[0.010430 0.011530 0.010910 0.010050],[0.010980 0.008450 0.011200 0.011860]]
[[0.010070 0.008090 0.010420 0.009220],[0.008560 0.009870 0.010270 0.011140]]
[[0.011200 0.010340 0.010750 0.010710],[0.009380 0.009430 0.011850 0.010600]]
[[0.009100 0.008960 0.010540 0.010630],[0.008880 0.009520 0.010670 0.008450]]
[[0.010140 0.009760 0.009490 0.010530],[0.008710 0.010380 0.010350 0.008580]]
[[0.010130 0.010740 0.009240 0.010500],[0.009310 0.008390 0.008690 0.008970]]
[[0.009180 0.009570 0.010880 0.008870],[0.011010 0.008800 0.011320 0.008570]]
[[0.010960 0.009660 0.008890 0.008300],[0.011560 0.009010 0.009900 0.008670]]];

s = [[[100000.00 0.01 0.01 0.01],[0.00 100000.00 0.01 0.01],[0.01 0.01 100000.00 0.01],[0.01 0.01 0.01 100000.00]]
[[100000.00 0.01 0.01 0.01],[0.01 100000.00 0.01 0.01],[0.01 0.01 100000.00 0.00],[0.01 0.01 0.01 100000.00]]];

R = [[0 1],[1 0],[0 1],[1 1],[1 0],[1 1],[0 1],[0 1],[1 1],[1 1]];

S = [[[0 0 0 0],[0 0 1 0]]
[[0 1 0 1],[0 0 0 0]]
[[0 0 0 0],[0 1 0 1]]
[[1 0 0 0],[1 0 0 0]]
[[1 1 0 1],[0 0 0 0]]
[[1 0 0 0],[0 1 0 0]]
[[0 0 0 0],[1 0 0 0]]
[[0 0 0 0],[0 0 1 0]]
[[1 0 1 1],[0 0 1 1]]
[[1 1 0 0],[0 0 1 0]]];

alpha0 = [[1 0 0 0],[0 1 0 0]];
